junta,exp,anio,Identificador,NumAbogado,Contador,Folio
9,628,2018,9_628_2018,24,122,24_122
2,318,2018,2_318_2018,24,123,24_123
11,2234,2017,11_2234_2017,24,124,24_124
15,303,2018,15_303_2018,24,125,24_125
16,143,2018,16_143_2018,24,126,24_126
18,1257,2018,18_1257_2018,24,127,24_127
8,768,2018,8_768_2018,24,128,24_128
12,963,2018,12_963_2018,24,129,24_129
9,2161,2017,9_2161_2017,24,130,24_130
8,1218,2018,8_1218_2018,24,131,24_131
18,1741,2017,18_1741_2017,24,132,24_132
4,1127,2018,4_1127_2018,24,133,24_133
9,1239,2018,9_1239_2018,24,134,24_134
1,841,2018,1_841_2018,24,135,24_135
2,1453,2017,2_1453_2017,24,136,24_136
16,430,2018,16_430_2018,24,137,24_137
10,107,2018,10_107_2018,24,138,24_138
16,623,2018,16_623_2018,24,139,24_139
9,2198,2017,9_2198_2017,24,140,24_140
7,1533,2018,7_1533_2018,24,141,24_141
2,2065,2017,2_2065_2017,24,142,24_142
15,373,2018,15_373_2018,24,143,24_143
4,1357,2017,4_1357_2017,24,144,24_144
18,236,2018,18_236_2018,24,145,24_145
15,809,2018,15_809_2018,24,146,24_146
15,570,2018,15_570_2018,24,147,24_147
11,352,2018,11_352_2018,24,148,24_148
3,800,2018,3_800_2018,24,149,24_149
3,230,2018,3_230_2018,24,150,24_150
