junta,exp,anio,Identificador,NumAbogado,Contador,Folio,
12,2195,2018,12_2195_2018,26,55,26_55,
10,1996,2017,10_1996_2017,26,56,26_56,
8,1478,2017,8_1478_2017,26,57,26_57,
9,30,2018,9_30_2018,26,58,26_58,
9,1875,2017,9_1875_2017,26,59,26_59,
8,1334,2018,8_1334_2018,26,60,26_60,
8,906,2018,8_906_2018,26,61,26_61,
18,1352,2018,18_1352_2018,26,62,26_62,
8,1333,2018,8_1333_2018,26,63,26_63,
5,551,2018,5_551_2018,26,64,26_64,
19,935,2017,19_935_2017,26,65,26_65,
7,446,2018,7_446_2018,26,66,26_66,
7,590,2018,7_590_2018,26,67,26_67,
5,584,2018,5_584_2018,26,68,26_68,
11,2664,2018,11_2664_2018,26,69,26_69,
10,1783,2018,10_1783_2018,26,70,26_70,
7,2297,2017,7_2297_2017,26,71,26_71,
3,1289,2017,3_1289_2017,26,72,26_72,
11,1897,2018,11_1897_2018,26,73,26_73,
13,1114,2017,13_1114_2017,26,74,26_74,
4,566,2018,4_566_2018,26,75,26_75,
1,1482,2018,1_1482_2018,26,76,26_76,
3,821,2019,3_821_2019,26,77,26_77,
16,876,2018,16_876_2018,26,78,26_78,
12,3064,2017,12_3064_2017,26,79,26_79,
3,1085,2018,3_1085_2018,26,80,26_80,
8,2202,2017,8_2202_2017,26,81,26_81,
2,1563,2018,2_1563_2018,26,82,26_82,
12,2705,2017,12_2705_2017,26,83,26_83,
2,1251,2018,2_1251_2018,26,84,26_84,
10,1040,2017,10_1040_2017,26,85,26_85,
15,1474,2017,15_1474_2017,26,86,26_86,
7,1774,2017,7_1774_2017,26,87,26_87,
18,1192,2018,18_1192_2018,26,88,26_88,
2,287,2018,2_287_2018,26,89,26_89,
12,2151,2018,12_2151_2018,26,90,26_90,
18,1234,2018,18_1234_2018,26,91,26_91,
14,820,2018,14_820_2018,26,92,26_92,
10,1516,2017,10_1516_2017,26,93,26_93,
1,1209,2018,1_1209_2018,26,94,26_94,
18,1605,2017,18_1605_2017,26,95,26_95,
5,779,2018,5_779_2018,26,96,26_96,
8,2480,2017,8_2480_2017,26,97,26_97,
8,2454,2017,8_2454_2017,26,98,26_98,
16,934,2017,16_934_2017,26,99,26_99,
9,876,2018,9_876_2018,26,100,26_100,
11,2904,2017,11_2904_2017,26,101,26_101,
4,1396,2017,4_1396_2017,26,102,26_102,
19,690,2018,19_690_2018,26,103,26_103,
18,1932,2017,18_1932_2017,26,104,26_104,
16,751,2018,16_751_2018,26,105,26_105,
8,1226,2017,8_1226_2017,26,106,26_106,
7,841,2018,7_841_2018,26,107,26_107,
8,232,2018,8_232_2018,26,108,26_108,
15,1063,2017,15_1063_2017,26,109,26_109,
11,2040,2017,11_2040_2017,26,110,26_110,
10,961,2018,10_961_2018,26,111,26_111,
18,620,2018,18_620_2018,26,112,26_112,
12,1294,2018,12_1294_2018,26,113,26_113,
18,2033,2017,18_2033_2017,26,114,26_114,
2,1624,2018,2_1624_2018,26,115,26_115,
7,1357,2018,7_1357_2018,26,116,26_116,
2,1466,2018,2_1466_2018,26,117,26_117,
3,1184,2018,3_1184_2018,26,118,26_118,
7,507,2018,7_507_2018,26,119,26_119,
9,2253,2017,9_2253_2017,26,120,26_120,
17,590,2017,17_590_2017,26,121,26_121,
1,1092,2018,1_1092_2018,26,122,26_122,
11,1025,2018,11_1025_2018,26,123,26_123,
14,1200,2018,14_1200_2018,26,124,26_124,
1,1939,2017,1_1939_2017,26,125,26_125,
8,1420,2018,8_1420_2018,26,126,26_126,
16,586,2018,16_586_2018,26,127,26_127,
15,960,2018,15_960_2018,26,128,26_128,
7,1221,2018,7_1221_2018,26,129,26_129,
16,983,2017,16_983_2017,26,130,26_130,
15,1605,2017,15_1605_2017,26,131,26_131,
5,812,2018,5_812_2018,26,132,26_132,
8,207,2018,8_207_2018,26,133,26_133,
2,1512,2018,2_1512_2018,26,134,26_134,
19,967,2017,19_967_2017,26,135,26_135,
2,1705,2017,2_1705_2017,26,136,26_136,
11,1292,2018,11_1292_2018,26,137,26_137,
19,45,2019,19_45_2019,26,138,26_138,
16,1734,2017,16_1734_2017,26,139,26_139,
10,587,2018,10_587_2018,26,140,26_140,
2,680,2018,2_680_2018,26,141,26_141,
12,1667,2017,12_1667_2017,26,142,26_142,
4,1125,2018,4_1125_2018,26,143,26_143,
1,985,2018,1_985_2018,26,144,26_144,
2,1099,2018,2_1099_2018,26,145,26_145,
8,711,2018,8_711_2018,26,146,26_146,
8,170,2018,8_170_2018,26,147,26_147,
7,1138,2017,7_1138_2017,26,148,26_148,
6,628,2018,6_628_2018,26,149,26_149,
4,785,2018,4_785_2018,26,150,26_150,
13,1396,2017,13_1396_2017,26,151,26_151,
18,489,2018,18_489_2018,26,152,26_152,
18,1827,2017,18_1827_2017,26,153,26_153,
12,1707,2018,12_1707_2018,26,154,26_154,
8,1128,2018,8_1128_2018,26,155,26_155,
18,502,2018,18_502_2018,26,156,26_156,
7,14,2018,7_14_2018,26,157,26_157,
8,2229,2017,8_2229_2017,26,158,26_158,
3,198,2018,3_198_2018,26,159,26_159,
12,3067,2017,12_3067_2017,26,160,26_160,
8,1990,2017,8_1990_2017,26,161,26_161,
11,3007,2017,11_3007_2017,26,162,26_162,
2,979,2018,2_979_2018,26,163,26_163,
2,1244,2018,2_1244_2018,26,164,26_164,
14,1092,2018,14_1092_2018,26,165,26_165,
12,2418,2018,12_2418_2018,26,166,26_166,
17,487,2017,17_487_2017,26,167,26_167,
18,1661,2018,18_1661_2018,26,168,26_168,
1,1415,2017,1_1415_2017,26,169,26_169,
6,543,2018,6_543_2018,26,170,26_170,
1,1842,2017,1_1842_2017,26,171,26_171,
7,357,2018,7_357_2018,26,172,26_172,
8,1617,2018,8_1617_2018,26,173,26_173,
13,839,2018,13_839_2018,26,174,26_174,
8,467,2018,8_467_2018,26,175,26_175,
9,1411,2017,9_1411_2017,26,176,26_176,
19,488,2018,19_488_2018,26,177,26_177,
18,791,2018,18_791_2018,26,178,26_178,
4,628,2018,4_628_2018,26,179,26_179,
10,1148,2017,10_1148_2017,26,180,26_180,
7,1316,2017,7_1316_2017,26,181,26_181,
8,1016,2018,8_1016_2018,26,182,26_182,
8,571,2018,8_571_2018,26,183,26_183,
3,379,2019,3_379_2019,26,184,26_184,
7,849,2018,7_849_2018,26,185,26_185,
7,1526,2018,7_1526_2018,26,186,26_186,
12,1861,2019,12_1861_2019,26,187,26_187,
20,482,2017,20_482_2017,27,1,27_1,
19,1094,2017,19_1094_2017,27,2,27_2,
19,758,2017,19_758_2017,27,3,27_3,
19,344,2018,19_344_2018,27,4,27_4,
19,318,2018,19_318_2018,27,5,27_5,
19,255,2018,19_255_2018,27,6,27_6,
19,8,2018,19_8_2018,27,7,27_7,
18,2145,2017,18_2145_2017,27,8,27_8,
18,2025,2017,18_2025_2017,27,9,27_9,
18,2006,2017,18_2006_2017,27,10,27_10,
18,1723,2017,18_1723_2017,27,11,27_11,
18,1160,2018,18_1160_2018,27,12,27_12,
18,972,2018,18_972_2018,27,13,27_13,
18,776,2018,18_776_2018,27,14,27_14,
18,643,2018,18_643_2018,27,15,27_15,
18,380,2018,18_380_2018,27,16,27_16,
16,1011,2017,16_1011_2017,27,17,27_17,
16,102,2018,16_102_2018,27,18,27_18,
15,401,2018,15_401_2018,27,19,27_19,
15,292,2018,15_292_2018,27,20,27_20,
14,991,2017,14_991_2017,27,21,27_21,
14,338,2018,14_338_2018,27,22,27_22,
13,901,2018,13_901_2018,27,23,27_23,
13,518,2018,13_518_2018,27,24,27_24,
13,368,2018,13_368_2018,27,25,27_25,
13,351,2018,13_351_2018,27,26,27_26,
12,2197,2017,12_2197_2017,27,27,27_27,
12,1446,2018,12_1446_2018,27,28,27_28,
12,1419,2018,12_1419_2018,27,29,27_29,
12,504,2018,12_504_2018,27,30,27_30,
12,123,2018,12_123_2018,27,31,27_31,
11,2096,2017,11_2096_2017,27,32,27_32,
11,1902,2018,11_1902_2018,27,33,27_33,
11,118,2018,11_118_2018,27,34,27_34,
10,2130,2017,10_2130_2017,27,35,27_35,
10,2062,2017,10_2062_2017,27,36,27_36,
10,1881,2017,10_1881_2017,27,37,27_37,
10,1583,2018,10_1583_2018,27,38,27_38,
10,1407,2017,10_1407_2017,27,39,27_39,
10,1068,2018,10_1068_2018,27,40,27_40,
10,874,2018,10_874_2018,27,41,27_41,
10,164,2018,10_164_2018,27,42,27_42,
9,1876,2017,9_1876_2017,27,43,27_43,
9,1643,2017,9_1643_2017,27,44,27_44,
9,1276,2018,9_1276_2018,27,45,27_45,
9,1175,2018,9_1175_2018,27,46,27_46,
9,966,2018,9_966_2018,27,47,27_47,
9,893,2018,9_893_2018,27,48,27_48,
9,424,2018,9_424_2018,27,49,27_49,
9,173,2018,9_173_2018,27,50,27_50,
9,132,2018,9_132_2018,27,51,27_51,
8,2276,2017,8_2276_2017,27,52,27_52,
8,1797,2018,8_1797_2018,27,53,27_53,
8,1771,2018,8_1771_2018,27,54,27_54,
8,1364,2018,8_1364_2018,27,55,27_55,
8,1213,2018,8_1213_2018,27,56,27_56,
8,1190,2018,8_1190_2018,27,57,27_57,
8,1011,2018,8_1011_2018,27,58,27_58,
8,16,2018,8_16_2018,27,59,27_59,
7,2290,2017,7_2290_2017,27,60,27_60,
7,2055,2017,7_2055_2017,27,61,27_61,
7,1716,2017,7_1716_2017,27,62,27_62,
7,1386,2018,7_1386_2018,27,63,27_63,
7,668,2018,7_668_2018,27,64,27_64,
7,296,2018,7_296_2018,27,65,27_65,
6,1163,2017,6_1163_2017,27,66,27_66,
6,1082,2017,6_1082_2017,27,67,27_67,
6,859,2018,6_859_2018,27,68,27_68,
6,552,2018,6_552_2018,27,69,27_69,
6,498,2018,6_498_2018,27,70,27_70,
6,105,2018,6_105_2018,27,71,27_71,
5,1324,2017,5_1324_2017,27,72,27_72,
5,915,2018,5_915_2018,27,73,27_73,
5,849,2017,5_849_2017,27,74,27_74,
5,643,2017,5_643_2017,27,75,27_75,
5,520,2018,5_520_2018,27,76,27_76,
4,991,2018,4_991_2018,27,77,27_77,
4,950,2018,4_950_2018,27,78,27_78,
4,916,2018,4_916_2018,27,79,27_79,
4,357,2018,4_357_2018,27,80,27_80,
3,1210,2017,3_1210_2017,27,81,27_81,
3,1140,2017,3_1140_2017,27,82,27_82,
3,916,2018,3_916_2018,27,83,27_83,
3,185,2018,3_185_2018,27,84,27_84,
2,1458,2017,2_1458_2017,27,85,27_85,
2,997,2018,2_997_2018,27,86,27_86,
2,985,2018,2_985_2018,27,87,27_87,
2,240,2018,2_240_2018,27,88,27_88,
2,169,2018,2_169_2018,27,89,27_89,
1,1790,2017,1_1790_2017,27,90,27_90,
1,1643,2017,1_1643_2017,27,91,27_91,
1,1388,2018,1_1388_2018,27,92,27_92,
1,1383,2017,1_1383_2017,27,93,27_93,
1,1333,2017,1_1333_2017,27,94,27_94,
1,1255,2017,1_1255_2017,27,95,27_95,
1,83,2018,1_83_2018,27,96,27_96,
12,381,2018,12_381_2018,27,97,27_97,
