despacho,junta,exp,anio,modo_termino,npv,liq_total,liq_total_tope,liq_total_pos,gen,horas_sem,salario_diario,abogado_pub,c_antiguedad,trabajador_base,indem,sal_caidos,prima_antig,prima_vac,hextra,prima_dom,desc_sem,desc_ob,sarimssinf,utilidades,nulidad,codem,reinst,salario_base_diario,c_indem,c_prima_antig,c_rec20,c_ag,c_vac,c_hextra,c_prima_vac,c_prima_dom,c_desc_sem,c_desc_ob,c_utilidades,c_recsueldo,c_total,c_sal_caidos,comp_esp_p1,comp_esp_p2,min_ley,dw_scian,fechadem,fechater,giro_empresa
101,2,398,2011,1,21914.6,30031.75,30031.75,1,0,56,145.7406368937024,0,2.6600001,0,1,1,1,1,1,0,0,0,1,0,1,0,0,,13116.657,4500.6431,0,5809.6665,2998.6594,96790,749.66486,0,0,0,0,1020.1844,124985.47,65000.324,5633.8105,66150.531,19239.416,130.93765,15mar2011,09dec2011,72
101,9,1020,2011,1,277370.69,400000,376978,1,0,53.75,4506.664851543638,0,7.1700001,0,1,1,1,1,1,0,0,0,1,1,1,1,0,752.6894840541381,345486.28,12228.932,0,80919.703,60437.582,1104483.5,15109.397,0,0,0,0,58586.641,1737365.6,2071253.9,,164322.02,424102.19,550.57251,31may2011,02apr2013,52
101,9,1225,2011,1,100198.98,150000,150000,1,0,54,633.8748123056358,0,1.62,,1,1,1,1,1,1,0,0,1,0,1,1,0,316.9433487663246,57048.73,2767.5347,0,7710.7432,3478.5208,81532.656,869.63019,6655.7271,0,0,0,633.87482,160697.42,380831.97,,78187.484,63333,283.23911,28jun2011,21aug2013,56
101,11,662,2011,1,29385.014,37985,37985,1,1,77,328.7004052873356,0,.72000003,0,1,1,1,1,1,0,0,0,1,0,1,0,0,,29583.391,1211.094,0,3525.6931,1410.2749,58529.918,352.56577,0,0,0,0,1972.2261,96585.164,129739.6,2280.3054,51381.367,36089.777,181.30533,26apr2011,02aug2011,46
101,16,1049,2011,1,3559.7522,6000,6000,1,0,42.5,109.9039313101934,0,1.59,0,1,1,1,1,1,0,0,0,1,0,1,1,0,,9890.8945,2091.9917,0,2614.9924,1174.8611,6571.0391,293.72119,0,0,0,0,549.49609,23186.996,45553.09,13596.49,50059.52,13607.282,314.1889,12sep2011,23feb2012,61
116,2,872,2011,1,14928.329,13000,13000,1,0,48,189.8665015390571,1,2.8499999,0,1,1,1,1,0,1,1,1,0,0,1,0,0,175.8775893442859,17087.984,4861.8896,0,0,1498.5726,0,374.64612,6507.4707,52059.766,7015.8257,0,3037.864,92444.031,76763.031,3668.8411,112511.43,24632.621,225.64877,10jun2011,18oct2011,31
116,2,1097,2011,3,0,0,0,0,0,36,270.3143604241816,1,.31999999,0,1,1,1,1,0,0,0,0,0,0,1,0,0,93.16745988843412,24328.291,355.30942,0,444.1427,177.17053,0,44.298534,0,0,0,0,0,25349.215,161269.53,39089.098,30688.949,25349.215,131.08981,02aug2011,11sep2013,72
116,9,357,2011,4,0,0,0,0,0,42,158.5953419394197,1,2.95,0,1,1,1,1,0,0,0,0,0,0,0,0,0,151.3504693998218,14273.58,4800.2422,0,6686.3794,3545.3311,0,886.33276,0,0,0,0,0,30191.855,111508.39,36875.656,39564.402,23046.246,281.65405,18feb2011,20mar2014,56
116,11,948,2011,3,0,0,0,0,0,54,498.8348629793906,1,3.55,0,1,1,1,1,0,0,0,0,0,0,1,0,0,475.4090805359802,44895.137,6058.6729,0,2618.0066,3125.981,0,781.48938,0,0,0,0,0,57479.289,291768.5,50722.656,36877.809,57498.824,182.66093,20jun2011,21jun2013,46
116,11,1182,2011,4,0,0,0,0,0,54,90.78188162788607,1,.23999999,0,1,1,1,1,0,0,0,0,0,0,1,0,0,79.37362123338392,8170.3691,229.64143,0,287.04883,114.50776,0,28.62694,0,0,0,0,0,8830.1943,60560.598,18332.791,37545.875,8830.1943,396.40277,05aug2011,07may2014,54
